,AFP,F2,CEACAM5,TP53,CD8A,ASPM,CCNB1,CDK1,DLGAP5,KIF20A,MT1X,TOP2A,SOCS2,AKR1C3,PTEN,FAM83D,CDC20,AOX1,CYP2E1,LAMC1,UBE4B,HSPH1,HNF1A,SF3B1,APC2,CHST4,HGF,MTHFD2,AGO3,PRC1,UBE2C,NUSAP1,IRF9,PFKFB3,DTX3L,UTP15,ALG5,labels
GSM4043286_HCC068_HTA_2_0.CEL,2.85952389888741,6.41913743344779,4.95206196476485,6.36377839373545,5.81008826852833,4.92611657977994,5.30629536160301,4.01148167212295,4.58122860467615,4.97103885105194,7.48360805256506,5.66928019785124,5.54089215020556,6.56147013898604,7.55716935702483,5.86496967010391,6.21618251760422,7.18997745283,5.263152500833,9.96052439259111,7.03044996935894,6.86015877107038,6.49992045076587,8.79798433072138,6.08093914677937,9.03744605564993,5.54418841608896,4.96194107613944,7.29218106982081,5.83373197964038,6.03269894601399,6.34898210255344,6.55101107519398,8.35481625684425,7.70742243325746,5.91702723364051,5.45184676632353,cancer
GSM4043287_HCC070_HTA_2_0.CEL,3.03717364779405,6.03081883542377,4.3234681567586,8.35606946828478,6.28584825961886,4.23375331183942,4.98015806022428,3.5818421005903,4.13534076553425,4.87204147513366,5.9420933265469,5.54620832026022,5.64531607628988,7.1321743466113,7.16621792546446,5.37992521726741,5.91363962790408,4.39185083077396,5.2166619623593,8.50772045277355,6.74164261735016,8.33309923535499,6.56457003338462,8.94970664616199,6.10238425598303,5.46685807758482,4.8269194267532,5.31921811456399,6.55841321759243,5.7460934359251,5.7808061317655,6.1192299778461,6.59581629870214,8.04278900319109,7.71985347084819,5.40192407799605,6.10195709631981,cancer
GSM4043288_HCC083_HTA_2_0.CEL,3.64583195170321,9.9598465680244,4.62937972815692,7.10710677915642,6.13665673716892,5.63181421010389,4.92483220517474,3.50324303358753,4.34965845759162,4.84441140481843,9.72842270906389,4.97871683391585,5.93038955213061,8.57817864870795,7.95632815473903,7.01731718935495,5.88708237059568,10.5526174566575,10.8636191247303,7.15308408773353,7.25307130402647,6.97471688422505,6.98956429352211,8.66896544246579,6.13993754737346,4.83395762759327,3.92875769104549,4.42833042064542,6.81925174379483,5.31177464073639,5.72696440577577,5.92879184269031,6.70489909713225,6.36408036836508,7.42008432896543,5.62180257331481,5.97117461638123,cancer
GSM4043289_HCC088_HTA_2_0.CEL,5.32662355808715,9.43232050164766,4.34006101369068,7.22845581545007,6.07928163218938,7.06154158028315,5.34981111659466,4.35526933451802,5.42423316427753,5.11360064123589,8.51668990087619,6.79069868387518,6.12759858164389,6.42379752035199,7.81007517513881,6.13371698902141,5.8753202583946,9.01110748349535,10.8109119959982,8.9485203225367,6.56645385664059,6.00298908478633,6.7886318393763,8.99793083607453,6.03772481296238,4.93368734194074,5.89997241044076,5.38713553832878,6.46028844517098,6.74593387191869,6.02890764985549,7.04656559534296,6.66134648853404,7.19707280220326,8.29346114649526,5.2565768709355,5.62497735004086,cancer
GSM4043290_HCC090_HTA_2_0.CEL,3.72809600900449,8.99939506144993,4.7178886325174,7.09221539979812,6.09191900894045,6.29526683429665,4.98015806022428,3.63246927432581,4.1265310673751,4.93524840945719,5.36556197539739,5.20322424984132,5.56632681776184,7.83520988728673,7.40569738069875,6.90524323795497,5.95736029952148,10.3670048754271,6.73578880886676,8.00101846690299,6.86997940033502,9.2195091589779,6.91033942211791,9.2485851826322,6.21834203530739,4.87402102153795,3.95115345659258,4.8567803268479,6.18853497607418,5.94418995532339,6.15579103714837,5.65221507752632,6.62876337835519,6.38359739906352,7.54851145083185,5.64352712337148,6.29950551057687,cancer
GSM4043291_HCC091_HTA_2_0.CEL,3.2871602916233,9.46342989123344,4.72475404753163,6.77500366287261,6.04782662936672,5.28278228357589,5.0482410342773,3.89107534931187,4.18438974521957,5.0489146554693,7.61660383982309,6.2710255251129,5.47242649101355,9.30986284997673,7.78271197168523,6.58777409099174,6.11007529454375,10.7353689981055,9.38295923020986,7.74077396777481,7.75903795690298,7.69403759379295,6.92886404966216,9.4933119258672,6.26950884866324,5.03081801037419,3.95377416533862,5.40654662075149,6.95508992950678,6.10027429675731,5.92291698872112,6.60326418409811,6.59585732499121,6.48786667911851,7.47884796887318,6.0694460409921,5.59474117935386,cancer
GSM4043292_HCC092_HTA_2_0.CEL,8.36323357304937,8.94709932048703,4.29653026191897,6.95935127938426,6.00785295587229,6.36873955628777,6.84956645292173,4.65647843704768,6.52488340771742,6.48035545702224,9.4699534551029,7.62640028194792,6.00434789798437,7.80233757070779,6.93759402214717,6.39974034146938,6.93224536543286,8.84837225342148,6.96402274925226,8.1102207071156,7.40481514267349,7.12668648683424,6.79646636110162,9.04413403861717,6.09816598586865,5.07825776247952,5.87511180319441,4.43885631924551,7.08770340252384,7.32675823311245,6.09369331301165,7.26742685187394,6.90217516945589,6.37882941103862,7.21265397751489,6.1278653000583,5.39158075682185,cancer
GSM4043293_HCC093_HTA_2_0.CEL,3.69031289572287,9.93054537181119,4.56138075048429,6.38728952830664,6.40803531401716,3.36196078222373,4.52469726824813,3.12422237690595,3.91918681744342,4.51775477308203,11.3671404797464,3.97554752253091,6.70699705971246,6.97510158568209,7.33676686355304,5.6099652957988,5.77496842654801,11.1183123545026,11.655628995053,7.23682428168826,6.75682833124413,6.27782067302338,6.90555980396629,8.63520317064952,6.34465103887637,4.83753224396247,5.90474346934605,5.00854965922201,6.54001677827427,4.83455521534264,5.94152953923976,5.03150746825748,6.66077947595135,7.61726974278702,7.03802970511991,5.34329304543727,5.73398832605062,cancer
GSM4043294_HCC095_HTA_2_0.CEL,10.405303832018,9.81471160942887,4.51827237296116,7.06537965416691,6.09843707911691,5.83793703711183,5.22607621181774,3.85962709887664,4.28831651129352,5.10482767300074,6.46822921355456,5.70939294250481,6.41760774374781,7.85819279199986,7.49824586072924,6.39756742021063,5.78608963077706,10.2846135293532,5.31662694006886,8.28499099076572,6.45744221148633,7.9670454577091,6.88479032364771,9.14130930815044,6.17322283224603,4.86947688056671,4.49267485952839,4.79222902149756,6.27879112745161,5.93170399238073,6.05836406007525,6.05819681140703,6.59773264701634,6.43795577947189,6.35633054903053,5.95378834084418,5.77512391510393,cancer
GSM4043295_HCC099_HTA_2_0.CEL,10.3528755094652,9.73586334761937,4.60413776724462,7.25728427176223,6.02289899810032,6.55391774477088,5.8370729647103,4.56606468013062,4.97807989309012,5.61201550533081,6.39387761417989,6.3308955404455,5.65266287761656,6.37606584960982,7.61761357346453,6.17610019559952,5.94631270587356,8.99073185639612,11.1061892151899,9.06011793649143,6.55227856418454,7.08517567816699,6.81292103314358,8.57451247001484,6.19469737483147,4.77968131509214,5.41104545717544,5.27542789208588,6.13893326343741,6.34453228127586,6.29361013634822,6.41557342165516,6.91619279727795,6.34012411821968,7.94469402931636,5.71988349162282,5.390897220359,cancer
GSM4043296_HCC100_HTA_2_0.CEL,5.79274564531187,6.99093270309383,4.19883517459082,7.8408733322082,5.97256568713653,7.65210772960222,6.52863111628742,5.45140144876889,5.90485974915189,6.05676516405403,7.56344422193041,8.30205735493947,5.86435289281171,5.62587958332186,7.78505276935064,6.794725024012,6.10950709441407,7.32666884617814,5.40169076379575,9.85357190400306,6.51493450255128,7.92232881552092,6.56862946482432,8.91943620294841,5.9309581922943,4.65841850101709,5.37601300917095,5.37738833245702,6.43354042610065,7.49618092549824,6.7765405387397,7.87343673005947,6.32669674637942,7.22613685403272,6.90731637876669,5.93925171205195,5.89435501723828,cancer
GSM4043297_HCC101_HTA_2_0.CEL,8.94849588018582,9.64505784410819,4.47129579003434,6.94896454646652,6.00681660750114,6.51231873920238,5.46034465420035,4.06897675671029,5.19733621058742,5.01241614571727,4.98767854617745,6.2976829581864,5.5812751095973,8.46952739655861,7.80561168668357,5.90171149865793,5.92544588036502,9.58778427303097,11.238186609617,9.15721642652158,6.41151714832518,7.95172395823829,6.92804268154014,9.08898199875192,6.19510005121599,5.07289636356632,4.53466211205623,5.35965970895494,6.36606792350793,6.21769342975916,6.03827361488284,6.35545141527121,6.73353675348667,6.99857384285881,8.067782268522,5.37872363236529,6.21287917577105,cancer
GSM4043298_HCC104_HTA_2_0.CEL,3.38747029493224,8.95712465830417,4.40406536696322,6.70679341692501,6.7240585374394,4.64542040861262,4.75155367087413,3.57818058417502,4.20496752535538,4.92097730515398,9.65965610097102,5.49448363833284,6.47720551127358,6.60436437355405,7.60058480175096,6.50832186132427,5.87746894838583,10.2785107667763,11.8390169814577,8.27521864737992,7.05441605197143,6.76835312760372,6.72972585499559,8.67049172597095,6.22689700740284,5.08301727557977,6.2543014125245,6.24582323609117,6.39417210801119,5.58387910580503,5.96747401474142,5.41934621145164,6.80524001682125,7.31581596429036,7.26350005739066,5.30106199211545,5.80580380505444,cancer
GSM4043299_HCC106_HTA_2_0.CEL,4.13885985012585,8.13696357966175,4.51959956917357,6.96495198820107,6.23272394503393,6.41213107973172,5.57240412421435,4.1151225608344,5.14470761912439,5.49732876258739,5.81030248154543,6.94111960273362,6.163325896269,6.96566494406691,6.56750644785967,6.34411551351212,6.56631044800948,10.073425371513,6.38326673184715,9.02399921215194,7.17384717598218,7.76090052668573,6.58932285937901,8.70702611354113,6.11925694457879,5.33585190268843,4.04588155533049,4.60412623524501,7.15463959895497,7.06166035489506,6.68931631345187,6.58681457831878,7.2510021742175,8.75808878541299,7.60492820831822,5.10615353648016,5.96028307019284,cancer
GSM4043300_HCC109_HTA_2_0.CEL,5.67622571003555,9.69989877986231,4.60052104967539,7.14867913565739,6.35940570400511,5.20024840765825,4.87604554812204,3.41981340359709,4.0477622904472,5.28910090334411,6.58410375783078,5.0688499840876,5.92320397701471,8.67931754903415,7.66665517481446,6.20684799988519,5.84215230781074,8.70232201897982,12.243460477831,8.06639768994095,6.68892587702487,6.54747322091788,7.16835604316641,8.82438011514672,6.28072292996371,4.90009845397708,5.59150307110622,4.75521666457187,5.99650493074414,5.73848871329119,6.06041320433986,5.57944240484905,6.72213811006723,6.65065689316217,7.93897183076292,5.82769154735873,4.90670040407201,cancer
GSM4043301_HCC116_HTA_2_0.CEL,3.54233974172234,9.10828691226016,4.5511129574129,6.84460405364908,6.08810088636257,6.29336052603376,5.65470258306267,4.26189048865147,4.76206364183178,6.0240279912763,6.75812138548891,7.4067243315328,5.86043421213862,9.22299111046842,7.57527589890671,6.13012463924372,6.52470940048221,9.04443514559815,5.36436048345732,7.52834380148063,7.39765423585958,7.78517677605524,6.95391612526522,8.97973270364899,6.19469737483147,4.99493247310842,4.42079322667963,4.61609768418906,6.77210387111393,6.46347889354503,6.11150443827313,7.63201605076914,6.64062559037418,7.18379392496161,7.97381441404649,6.5291788026267,5.86513315183947,cancer
GSM4043302_HCC117_HTA_2_0.CEL,3.12715652588028,5.99600020957395,4.43467171882668,6.65542344003989,6.16359621025519,3.27941755248669,4.736013830894,3.08133582159151,3.68320559086548,4.59208044912137,5.43238194446707,4.63703279654442,6.04052728166631,6.12324104952987,8.23073974690499,5.26701166074662,5.77385309926005,4.27994860922435,5.46691768420499,8.03941309642991,7.08117251813913,7.85375537239026,6.53645171379864,8.81397598236313,6.26786745473088,4.96504692917279,5.46093872992847,6.1441054554324,7.03009589348594,5.02094938318051,5.75828452703073,4.4820613075462,6.69029201630448,8.41597163670441,6.75866037694895,5.20707803044071,5.52625940714218,cancer
GSM4043303_HCC120_HTA_2_0.CEL,10.2868735899538,9.93741580600927,4.38745600188876,6.79227272260738,6.07319902305407,5.679443805905,5.61541001908425,3.92292771463372,5.11851155232426,5.358111276992,8.60102540521543,6.32945926776849,6.08776538368753,7.0378165265102,7.77231117291546,5.95016812640334,6.05340826188547,9.12962118036436,10.2879907450154,8.18574780287845,6.59080868329246,7.38675659606132,6.80684889200307,8.4618760001867,5.98505391754193,4.53412829607669,5.53671113337012,5.63583402958392,6.27758493084315,6.20701828746928,6.1410744582558,6.6647340308255,6.6179456779863,7.14163669199441,7.27622610938661,5.46615560268781,5.55224451519081,cancer
GSM4043304_HCC121_HTA_2_0.CEL,10.0642721404854,9.53509328684868,4.56138075048429,7.47087100063244,5.94793570327028,7.31905462211668,7.76927699163646,5.55495875890248,8.06927096196812,6.27876947807368,5.4843500894951,8.47704821111754,5.23234909517378,9.68219666735136,4.84686751137381,7.71289766710547,6.98614012810821,9.46390355265406,5.2998897609024,8.23127448458755,7.21896765760159,6.89788913083053,7.05520531730775,9.09008322547372,6.0598626681088,4.99487558481595,4.74780676626043,4.43055436843699,6.65762130884722,7.8450395219453,7.30606194171181,8.01209103570775,6.93059207703837,7.06499118435154,7.54184570794725,5.7695283541127,5.43843030195808,cancer
